State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
NL,Employment,"Less than $25,000",3310,20000
NL,Employment,"Less than $25,000",410,20000
NL,Employment,"Between $25,000 and $49,999",2920,37000
NL,Employment,"Between $25,000 and $49,999",800,37000
NL,Employment,"Between $50,000 and $99,999",2760,75000
NL,Employment,"Between $50,000 and $99,999",990,75000
NL,Employment,"$100,000 and Above",880,130000
NL,Employment,"$100,000 and Above",0,130000
NL,Investment,"Less than $25,000",60,20000
NL,Investment,"Less than $25,000",100,20000
NL,Investment,"Between $25,000 and $49,999",0,37000
NL,Investment,"Between $25,000 and $49,999",60,37000
NL,Investment,"Between $50,000 and $99,999",0,75000
NL,Investment,"Between $50,000 and $99,999",50,75000
NL,Investment,"$100,000 and Above",60,130000
NL,Pension,"Less than $25,000",3660,20000
NL,Pension,"Less than $25,000",950,20000
NL,Pension,"Between $25,000 and $49,999",2300,37000
NL,Pension,"Between $25,000 and $49,999",750,37000
NL,Pension,"Between $50,000 and $99,999",720,75000
NL,Pension,"Between $50,000 and $99,999",470,75000
NL,Pension,"$100,000 and Above",0,130000
NL,Pension,"$100,000 and Above",70,130000
NL,Self-employment,"Less than $25,000",0,20000
NL,Self-employment,"Less than $25,000",270,20000
NL,Self-employment,"Between $25,000 and $49,999",0,37000
NL,Self-employment,"Between $25,000 and $49,999",130,37000
NL,Self-employment,"Between $50,000 and $99,999",0,75000
NL,Self-employment,"Between $50,000 and $99,999",120,75000
NL,Self-employment,"$100,000 and Above",0,130000
NL,Self-employment,"$100,000 and Above",110,130000
NL,Multiple sources of income,"Less than $25,000",0,20000
NL,Multiple sources of income,"Less than $25,000",0,20000
NL,Multiple sources of income,"Between $25,000 and $49,999",0,37000
NL,No income,"Less than $25,000",840,20000
NL,No income,"Less than $25,000",60,20000
NL,Other sources of income,"Less than $25,000",4120,20000
NL,Other sources of income,"Less than $25,000",520,20000
NL,Other sources of income,"Between $25,000 and $49,999",250,37000
NL,Other sources of income,"Between $25,000 and $49,999",130,37000
NL,Other sources of income,"Between $50,000 and $99,999",50,75000
NL,Other sources of income,"Between $50,000 and $99,999",30,75000
NL,Other sources of income,"$100,000 and Above",0,130000
NL,Other sources of income,"$100,000 and Above",0,130000
NL,Employment,"Less than $25,000",7070,20000
NL,Employment,"Less than $25,000",610,20000
NL,Employment,"Between $25,000 and $49,999",8060,37000
NL,Employment,"Between $25,000 and $49,999",1850,37000
NL,Employment,"Between $50,000 and $99,999",11080,75000
NL,Employment,"Between $50,000 and $99,999",3280,75000
NL,Employment,"$100,000 and Above",3400,130000
NL,Employment,"$100,000 and Above",0,130000
NL,Investment,"Less than $25,000",70,20000
NL,Investment,"Less than $25,000",130,20000
NL,Investment,"Between $25,000 and $49,999",0,37000
NL,Investment,"Between $25,000 and $49,999",60,37000
NL,Investment,"Between $50,000 and $99,999",70,75000
NL,Investment,"$100,000 and Above",80,130000
NL,Pension,"Less than $25,000",3160,20000
NL,Pension,"Less than $25,000",730,20000
NL,Pension,"Between $25,000 and $49,999",2750,37000
NL,Pension,"Between $25,000 and $49,999",850,37000
